bin,mean_phat,emp_freq,count,model
1,0.03928761103320654,0.02146558105107328,8106,chronos
2,0.14308785471150443,0.058640910658847877,2899,chronos
3,0.24319128626783781,0.1079447322970639,1158,chronos
4,0.3420659602421511,0.18724279835390947,486,chronos
5,0.44284978653467466,0.3082706766917293,266,chronos
6,0.5489075212849253,0.48360655737704916,122,chronos
7,0.6496354619887594,0.42201834862385323,109,chronos
8,0.7486561644603531,0.6293103448275862,116,chronos
9,0.8515733912660942,0.762589928057554,139,chronos
10,0.9593669347626628,0.8866995073891626,203,chronos
1,0.050606364128699684,0.05848252344416027,5865,climatology
2,0.14338852339822708,0.06708385481852315,3995,climatology
3,0.2426563752768767,0.08788598574821853,2105,climatology
4,0.34692086213515433,0.1506986027944112,1002,climatology
5,0.44636907398144443,0.22483940042826553,467,climatology
6,0.526230686181749,0.328125,128,climatology
7,0.6391594459119515,0.32,25,climatology
8,0.7405292837330641,0.125,8,climatology
9,0.8192665975642839,0.0,5,climatology
10,0.945885266940443,0.75,4,climatology
1,0.03803584597234665,0.021859903381642513,8280,gru
2,0.14192649780218747,0.056353591160221,2715,gru
3,0.2423847419212357,0.11219512195121951,1230,gru
4,0.3408794982170077,0.21350364963503649,548,gru
5,0.44614296889974264,0.38064516129032255,310,gru
6,0.5418574676665181,0.5284552845528455,123,gru
7,0.6502697105566823,0.6,95,gru
8,0.7556660039525263,0.7954545454545454,88,gru
9,0.8501957563454554,0.9550561797752809,89,gru
10,0.9579585308110128,0.9682539682539683,126,gru
1,0.039263525570991054,0.021099590065107306,8294,lstm
2,0.14358256778030679,0.06022358456545258,2773,lstm
3,0.24180086689305058,0.09528049866429207,1123,lstm
4,0.3453693250976511,0.25272727272727274,550,lstm
5,0.44342516227332385,0.352112676056338,284,lstm
6,0.5448737514237774,0.4883720930232558,172,lstm
7,0.6508779928364844,0.5824175824175825,91,lstm
8,0.7544840658292151,0.7582417582417582,91,lstm
9,0.8487699503323833,0.89,100,lstm
10,0.9592881431195925,0.9761904761904762,126,lstm
1,0.04323029440492491,0.02264391644075905,6271,persistence
2,0.14569943540504626,0.04236718224613315,2974,persistence
3,0.24313008684003867,0.07192429022082018,1585,persistence
4,0.34494712305810954,0.12427409988385599,861,persistence
5,0.44166127100232955,0.15508021390374332,561,persistence
6,0.5501996843771223,0.2401129943502825,354,persistence
7,0.6490812265776474,0.2640845070422535,284,persistence
8,0.7524610520443389,0.3643122676579926,269,persistence
9,0.8492928142730385,0.5021834061135371,229,persistence
10,0.9510939017290411,0.7268518518518519,216,persistence
1,0.03679083001122223,0.019888430754305117,8246,random_forest
2,0.1436279554646116,0.05157593123209169,2443,random_forest
3,0.24466756846570434,0.10853432282003711,1078,random_forest
4,0.3438176620529045,0.15070921985815602,564,random_forest
5,0.44583344286009124,0.20376175548589343,319,random_forest
6,0.550392303976874,0.3241106719367589,253,random_forest
7,0.6457301890079888,0.4915254237288136,177,random_forest
8,0.7469735563393696,0.5733333333333334,150,random_forest
9,0.8498816941320555,0.6646706586826348,167,random_forest
10,0.9564262645926727,0.8840579710144928,207,random_forest
1,0.04225860390536879,0.022331786542923435,6896,seasonal_naive
2,0.1435132182511525,0.04497189256714553,3202,seasonal_naive
3,0.245062756793788,0.08896551724137931,1450,seasonal_naive
4,0.344838871677143,0.12388059701492538,670,seasonal_naive
5,0.44132338762756895,0.2026578073089701,301,seasonal_naive
6,0.5454548976799193,0.2838427947598253,229,seasonal_naive
7,0.6473399392052347,0.4583333333333333,192,seasonal_naive
8,0.7473795446604375,0.48095238095238096,210,seasonal_naive
9,0.8468589630927763,0.548,250,seasonal_naive
10,0.956588614610602,0.7058823529411765,204,seasonal_naive
1,0.0369701597706198,0.0210814673654121,8396,xgboost
2,0.14239447898855923,0.0493980904939809,2409,xgboost
3,0.244529782095579,0.10117878192534381,1018,xgboost
4,0.34683777616501354,0.1434108527131783,516,xgboost
5,0.4437826953446483,0.2484472049689441,322,xgboost
6,0.5478260674818484,0.36607142857142855,224,xgboost
7,0.6468641018575058,0.4606741573033708,178,xgboost
8,0.7471317204850833,0.54421768707483,147,xgboost
9,0.8467324936297205,0.6571428571428571,175,xgboost
10,0.9552502251899343,0.8858447488584474,219,xgboost
