,0
time_idx,0.0
station_id,0.0
datetime,0.0
target,0.0
rainfall,0.0
t  kmnpnn]2m,0.0
t2m_max,0.0
t2m_min,0.0
month,0.0
latitude,0.0
longitude,0.0
wellDepth,0.0
wellAquiferType_encoded,0.0
State_encoded,0.0
District_encoded,0.0
parsed_date,0.0
year,0.0
