model,h,picp50,picp90,picp95,mpiw90,ace90,picp90_norm,mpiw90_norm,winkler90,crps,pinball,crps_clim,crpss
chronos,1,0.5504506484941746,0.9240858796805158,0.9616765589506852,7.347620735168461,0.024085879680515787,0.923060013189712,7.868618827210826,11.684311077496961,1.08239637726258,0.5411981886312902,1.5953240809849494,0.32151943911339254
chronos,2,0.5371827102424783,0.9233638796529073,0.9648852485605385,8.335618591308592,0.023363879652907316,0.9154975265590788,8.53441646551203,12.709225220341207,1.2406965237480283,0.620348261874014,1.663836125640013,0.2543156717006726
chronos,3,0.5404418477268578,0.9293408800438197,0.9694175643600511,8.5707462310791,0.029340880043819628,0.9182946868723754,8.430421622093954,12.80163670318546,1.2310322477590792,0.6155161238795395,1.645837187347081,0.25203279083554087
chronos,4,0.5402028250633828,0.9274417481588796,0.9637208740794398,8.463073272705078,0.027441748158879564,0.9162742967523844,8.268267243080338,13.036280478928846,1.2357225512008345,0.617861275600417,1.6093132585359873,0.2321429375875601
climatology,1,0.4939547153220488,0.8909650472631347,0.9413057814904374,8.828000000000003,-0.009034952736865276,0.8887667619256979,8.462034893703821,16.878792155323108,1.5953240809849494,0.797662040492475,1.5953240809849494,0.0
climatology,2,0.47019706430946395,0.8880869353661504,0.936339307436542,8.958333333333332,-0.011913064633849668,0.8796529073067878,8.667241737758628,17.584671907002416,1.663836125640013,0.8319180628200067,1.663836125640013,0.0
climatology,3,0.48731057148073764,0.8880774146430528,0.9381960927515063,8.923333333333334,-0.011922585356947235,0.879039620230053,8.501263180299388,17.58361545976993,1.645837187347081,0.8229185936735403,1.645837187347081,0.0
climatology,4,0.48382228661113125,0.8916455390558976,0.940178679222504,8.934666666666669,-0.008354460944102415,0.8860316310515514,8.571408231105368,16.923172077081244,1.6093132585359873,0.8046566292679938,1.6093132585359873,0.0
gru,1,0.5104418553528248,0.9092840917417747,0.9552282552942039,6.543838590110625,0.009284091741774692,0.9000512933245401,6.628488476526173,11.384897578310195,1.0697470776195142,0.5348735388097571,1.5953240809849494,0.3294484234456896
gru,2,0.5124483010299246,0.9047927986375801,0.9546670991809261,7.398438275030952,0.004792798637580087,0.8936014921741952,7.393453668675296,12.685541630552514,1.2391006444578376,0.6195503222289186,1.663836125640013,0.2552748282339381
gru,3,0.509220376118313,0.9045097681212343,0.9522548840606171,7.569644918115289,0.00450976812123427,0.8918203396019719,7.359921425853636,13.182857111996672,1.269864886833578,0.6349324434167887,1.645837187347081,0.22843833120548906
gru,4,0.5088735965229989,0.9066159604008209,0.9524326934685501,7.939001975701929,0.006615960400820908,0.8996740311481347,7.739844392074311,13.382640062169173,1.3021424769022154,0.6510712384511076,1.6093132585359873,0.19087072079006484
lstm,1,0.49380816296621965,0.9049607972448157,0.9534696270242544,6.5948995557928916,0.0049607972448156845,0.8950685132263501,6.589947174331104,11.622655827616315,1.1005927251056697,0.5502963625528345,1.5953240809849494,0.3101133881047127
lstm,2,0.5002027410591193,0.9034141594355689,0.9535317492498581,7.563986460323322,0.0034141594355688865,0.8953856134944449,7.511937104061245,12.878073645925761,1.2700045396592343,0.6350022698296172,1.663836125640013,0.2367009466327622
lstm,3,0.4906883330290305,0.8997626437830929,0.951250684681395,7.652497635693492,-0.00023735621690712527,0.8880774146430528,7.416839810495474,13.546179148311541,1.3234327248419078,0.6617163624209541,1.645837187347081,0.19589086027692437
lstm,4,0.5005432814197754,0.9005191355788965,0.9504406615960401,7.759935243062031,0.0005191355788964902,0.8963539780272848,7.648431869915019,13.395684903649867,1.3160357936558147,0.6580178968279073,1.6093132585359873,0.18223764908702167
persistence,1,0.5342566131750568,0.915732395398256,0.9607972448157104,10.300000000000006,0.015732395398255994,0.9215212134535062,12.47493560255907,15.771996291355858,1.5521360092747736,0.7760680046373896,1.5953240809849494,0.02707166037606079
persistence,2,0.5182061471089126,0.9186602870813397,0.9592084989051983,12.400000000000004,0.01866028708133971,0.9216608547563052,14.753237504623934,17.890349527882574,1.9563203300390801,0.9781601650195414,1.663836125640013,-0.1757890695434683
persistence,3,0.5741281723571298,0.9401132006572941,0.9718824173817784,12.239999999999998,0.04011320065729407,0.9367354391090013,13.610817792993926,16.750151537191893,1.650853207315947,0.8254266036579752,1.645837187347081,-0.0030477011987748437
persistence,4,0.5359169383073765,0.9284679463962332,0.9658939997585416,9.040000000000001,0.02846794639623318,0.9114451285766026,8.975694892900993,13.852682599010022,1.2789833176695555,0.6394916588347813,1.6093132585359873,0.2052614300629929
random_forest,1,0.5393859456290759,0.9233531179013703,0.9638015681102073,6.885852629178631,0.02335311790137029,0.909064263208031,7.13797490648297,10.605881358863975,1.0257656181796488,0.5128828090898243,1.5953240809849494,0.357017404547455
random_forest,2,0.5423728813559322,0.9269321222934068,0.9655340199497202,7.860269057610105,0.0269321222934068,0.9104695482929203,7.872561279060609,11.602216673801403,1.1339358919387916,0.5669679459693958,1.663836125640013,0.3184810243841708
random_forest,3,0.5454628446229688,0.927788935548658,0.9676830381595765,8.030405631628703,0.027788935548658023,0.9095307650173453,7.82643453378874,11.968062611558734,1.1539772330175293,0.5769886165087648,1.645837187347081,0.29885091800749686
random_forest,4,0.5440057950018109,0.9247857056621996,0.9629964988530726,8.087326966173505,0.02478570566219962,0.9081250754557527,7.894484067744252,12.495138562994315,1.2028588888204388,0.6014294444102192,1.6093132585359873,0.25256386073977
seasonal_naive,1,0.5449549351505826,0.9293617644903642,0.9666593390488752,8.879999999999997,0.029361764490364206,0.9119220341466989,8.663202135604736,13.647751150963579,1.251244850085943,0.6256224250429743,1.5953240809849494,0.21567983270620017
seasonal_naive,2,0.5416430135431027,0.9296083042737815,0.9674803341172654,9.260000000000002,0.02960830427378147,0.9125780553077609,9.165660771550847,13.718429966750465,1.2866072071858548,0.6433036035929293,1.663836125640013,0.2267223993042301
seasonal_naive,3,0.5227314223114844,0.9282453898119408,0.9661310936644149,9.08,0.028245389811940802,0.9090743107540624,9.050099152911669,13.947491319883147,1.2978716626106528,0.6489358313053281,1.645837187347081,0.21142159589753384
seasonal_naive,4,0.5359169383073765,0.9284679463962332,0.9658939997585416,9.040000000000001,0.02846794639623318,0.9114451285766026,8.975694892900993,13.852682599010022,1.2789833176695555,0.6394916588347813,1.6093132585359873,0.2052614300629929
xgboost,1,0.5471532204880194,0.9235729464351139,0.9646808822451821,6.8218777465820315,0.023572946435113873,0.9133142815270755,7.224682604237849,10.697279146862453,1.0255479570104002,0.5127739785052003,1.5953240809849494,0.3571538415083477
xgboost,2,0.5380747709026032,0.9263644473278728,0.9643175735950045,7.8270211029052765,0.026364447327872798,0.9081988484307842,7.952167579940759,11.87028265061623,1.1554023380556016,0.5777011690278006,1.663836125640013,0.30557924530508473
xgboost,3,0.5471973708234434,0.9231331020631732,0.9662223845170714,7.776571578979491,0.023133102063173205,0.9076136571115574,7.9038089815547385,12.200937290107257,1.1790075024001814,0.5895037512000909,1.645837187347081,0.2836426886789335
xgboost,4,0.5388748038150428,0.9215863817457443,0.9596160811300254,8.002532958984375,0.021586381745744232,0.9058915851744537,7.9556846182979735,12.61044225837905,1.2225261137848968,0.6112630568924488,1.6093132585359873,0.24034298027405532
