h,distance_km_bin,semivariance,n_pairs,nugget,sill,range
1,37.5,1.832616170904529,34313,1.7030989428052012,0.534192967446502,200.16684215114796
1,112.5,1.8379780867188802,72165,1.7030989428052012,0.534192967446502,200.16684215114796
1,187.5,2.1503469607199057,102100,1.7030989428052012,0.534192967446502,200.16684215114796
1,262.5,2.080213254363636,135788,1.7030989428052012,0.534192967446502,200.16684215114796
1,337.5,1.9956806797044442,163609,1.7030989428052012,0.534192967446502,200.16684215114796
1,412.5,2.0874982111612885,182613,1.7030989428052012,0.534192967446502,200.16684215114796
1,487.5,2.2188198506953647,191980,1.7030989428052012,0.534192967446502,200.16684215114796
1,562.5,2.3412806351791584,206868,1.7030989428052012,0.534192967446502,200.16684215114796
1,637.5,2.160138037944153,217457,1.7030989428052012,0.534192967446502,200.16684215114796
1,712.5,2.1613547990039383,216518,1.7030989428052012,0.534192967446502,200.16684215114796
1,787.5,2.319291980826969,212710,1.7030989428052012,0.534192967446502,200.16684215114796
1,862.5,2.4445010963243496,212000,1.7030989428052012,0.534192967446502,200.16684215114796
1,937.5,2.456200981376991,210847,1.7030989428052012,0.534192967446502,200.16684215114796
1,1012.5,2.544915557795514,206228,1.7030989428052012,0.534192967446502,200.16684215114796
1,1087.5,2.2646774955073,198188,1.7030989428052012,0.534192967446502,200.16684215114796
1,1162.5,2.246363447963954,187228,1.7030989428052012,0.534192967446502,200.16684215114796
1,1237.5,2.162796764666945,178889,1.7030989428052012,0.534192967446502,200.16684215114796
1,1312.5,2.019667412748604,163700,1.7030989428052012,0.534192967446502,200.16684215114796
1,1387.5,2.0159546919744566,151417,1.7030989428052012,0.534192967446502,200.16684215114796
1,1462.5,1.9889336991789288,129130,1.7030989428052012,0.534192967446502,200.16684215114796
2,37.5,1.6970648675716016,32201,0.9727576609481582,1.4150687399779591,53.84822177888719
2,112.5,2.1067080720803273,67761,0.9727576609481582,1.4150687399779591,53.84822177888719
2,187.5,2.4948780914861572,96193,0.9727576609481582,1.4150687399779591,53.84822177888719
2,262.5,2.5278988306741703,128082,0.9727576609481582,1.4150687399779591,53.84822177888719
