model,h,tercile,picp90,mpiw90,ace90
chronos,1,short,0.9210799584631361,8.249392318725585,0.02107995846313604
chronos,1,medium,0.9178534571723426,7.823654518127439,0.017853457172342546
chronos,1,long,0.9321833248773888,6.625061569213869,0.03218332487738873
chronos,2,short,0.9261254328587919,9.21230400085449,0.026125432858791875
chronos,2,medium,0.9223957119552552,9.27061004638672,0.022395711955255138
chronos,2,long,0.9321815842675979,7.606645011901856,0.032181584267597874
chronos,3,short,0.94061551798873,9.519410753250122,0.04061551798872998
chronos,3,medium,0.9229172073708798,9.194530944824212,0.022917207370879766
chronos,3,long,0.9294952023362536,7.632202758789063,0.02949520233625358
chronos,4,short,0.9237264283703912,8.561971893310544,0.023726428370391184
chronos,4,medium,0.9269759450171822,9.310672760009766,0.026975945017182146
chronos,4,long,0.9307660225218963,7.889096450805666,0.030766022521896308
climatology,1,short,0.8688127379716165,7.9079999999999995,-0.03118726202838351
climatology,1,medium,0.8852425180598555,9.247999999999996,-0.014757481940144479
climatology,1,long,0.9049551834939963,8.819999999999999,0.0049551834939962625
climatology,2,short,0.8687956906502501,8.033333333333337,-0.031204309349749937
climatology,2,medium,0.876252621766488,9.286666666666664,-0.02374737823351203
climatology,2,long,0.9029590148869693,8.963750000000003,0.002959014886969258
climatology,3,short,0.8708279150411791,8.1,-0.029172084958820954
climatology,3,medium,0.8813911237996367,9.247999999999994,-0.018608876200363333
climatology,3,long,0.8988318731748018,8.922083333333333,-0.0011681268251981791
climatology,4,short,0.8660287081339713,7.799999999999998,-0.03397129186602876
climatology,4,medium,0.8843642611683848,9.286666666666664,-0.015635738831615176
climatology,4,long,0.9047685249548172,9.013913043478256,0.004768524954817166
gru,1,short,0.8989269643475251,6.688260446863999,-0.001073035652474963
gru,1,medium,0.9062951496388029,6.810498513932658,0.006295149638802844
gru,1,long,0.9176391002875021,6.301889488348786,0.01763910028750204
gru,2,short,0.8995767602924202,7.53579332957718,-0.00042323970757984775
gru,2,medium,0.9002563505010487,7.781626621198426,0.0002563505010486633
gru,2,long,0.9165594559823562,7.235347764602664,0.016559455982356197
gru,3,short,0.8872995231902904,7.205354569613834,-0.012700476809709649
gru,3,medium,0.9021541655852583,7.908374868415605,0.002154165585258272
gru,3,long,0.9146850229453484,7.434472029808298,0.014685022945348347
gru,4,short,0.8846045595271601,7.28961097512483,-0.015395440472839916
gru,4,medium,0.9005154639175258,8.143900805750809,0.0005154639175257714
gru,4,long,0.917975809815098,7.911237461471816,0.017975809815097943
lstm,1,short,0.8944271374177917,6.729071200234864,-0.005572862582208349
lstm,1,medium,0.9027863777089783,6.776680577776702,0.0027863777089782715
lstm,1,long,0.9113817013360392,6.35988611232473,0.011381701336039218
lstm,2,short,0.896113889957676,7.542969001887217,-0.003886110042323976
lstm,2,medium,0.8990911209508273,7.940774243246498,-0.000908879049172695
lstm,2,long,0.9136188200698401,7.358754900142824,0.013618820069840054
lstm,3,short,0.8803641092327699,7.22083415195645,-0.019635890767230157
