variant,cohort,h,n,crps,pinball,picp_0.5,picp_0.8,picp_0.9,mpiw_0.9,ace_0.9,winkler_0.9,picp_0.95,reliability_maxdev
native,national,1,13647,1.0022631742864372,0.5011315871432186,0.5166703304755624,0.7962189492196087,0.8913314281527076,5.937859375253915,-0.008668571847292417,8.523249171278072,0.9528101414230233,0.018626804425881105
native,national,2,12331,1.1536571640004454,0.5768285820002228,0.4855242883788825,0.7847700916389587,0.8908442137701728,6.8418541343946275,-0.009155786229827267,9.416358774156242,0.9554780634174033,0.0161138593788015
native,national,3,10954,1.1476718719400831,0.5738359359700417,0.49607449333576775,0.7972430162497718,0.8971152090560526,7.062416835781407,-0.002884790943947446,9.637042027266661,0.957732335220011,0.009603797699470562
native,national,4,16566,1.1561412311061028,0.5780706155530515,0.5328383435953157,0.8172763491488592,0.9075817940359773,7.470498231285604,0.007581794035977252,9.886593511447996,0.9614873837981408,0.03283834359531568
native,igp,1,940,0.7101200736406452,0.35506003682032267,0.4478723404255319,0.7382978723404255,0.8712765957446809,3.9698404378079353,-0.028723404255319163,5.98117861473814,0.9414893617021277,0.0617021276595745
native,igp,2,963,0.8892807268944746,0.4446403634472373,0.42782969885773625,0.7092419522326064,0.8431983385254413,4.537423840471518,-0.05680166147455867,7.613772204242887,0.9335410176531672,0.11121495327102815
native,igp,3,777,0.8320186072159312,0.4160093036079657,0.44272844272844275,0.7477477477477478,0.8571428571428571,4.87341593353598,-0.04285714285714293,7.279170142745112,0.9420849420849421,0.06293436293436305
native,igp,4,1225,0.8764425340010623,0.4382212670005311,0.4636734693877551,0.7689795918367347,0.8759183673469387,5.286949904110967,-0.02408163265306129,7.705610963081827,0.9477551020408164,0.04163265306122449
conformal,national,1,13647,1.08239637726258,0.5411981886312901,0.5504506484941746,0.8415769033487214,0.9240858796805158,7.347620735168461,0.024085879680515787,11.684311077496961,0.9536894555579981,0.053183849930387606
conformal,national,2,12331,1.2406965237480283,0.6203482618740142,0.5371827102424783,0.8318060173546347,0.9234449760765551,8.340672683715823,0.023444976076555046,12.710855253816154,0.9579920525504825,0.04358121806828319
conformal,national,3,10954,1.2310322477590792,0.6155161238795396,0.5404418477268578,0.8437100602519627,0.9293408800438197,8.5707462310791,0.029340880043819628,12.80163670318546,0.9601971882417382,0.05159758992148977
conformal,national,4,16566,1.2357225512008343,0.6178612756004173,0.5402028250633828,0.8429916696848968,0.9274417481588796,8.463073272705078,0.027441748158879564,13.036280478928846,0.9572014970421345,0.0479536399855125
conformal,igp,1,940,0.786046288096927,0.3930231440484634,0.652127659574468,0.9074468085106383,0.9648936170212766,7.34762073516846,0.0648936170212766,9.091203700735216,0.9776595744680852,0.15957446808510645
conformal,igp,2,963,0.9543842455719131,0.4771921227859566,0.6199376947040498,0.9003115264797508,0.956386292834891,8.340672683715821,0.05638629283489094,10.402148079797858,0.9792315680166147,0.13312564901349955
conformal,igp,3,777,0.8989972914056628,0.44949864570283143,0.6525096525096525,0.9343629343629344,0.9665379665379665,8.5707462310791,0.06653796653796651,10.289665352761208,0.9794079794079794,0.15250965250965254
conformal,igp,4,1225,0.9427108530691783,0.47135542653458923,0.6293877551020408,0.916734693877551,0.9640816326530612,8.463073272705076,0.06408163265306122,11.034045274384166,0.9722448979591837,0.14857142857142858
