station_id,count,min,max,span_days,median_gap_days
081455077183001,26,2013-01-05,2022-01-30,3312,102.0
081500077310001,106,1994-05-01,2022-01-30,10136,92.0
081530077271001,105,1994-05-01,2022-01-30,10136,92.0
081730077163001,78,1994-05-01,2020-01-10,9385,102.0
081900077123001,9,1994-05-01,2020-01-10,9385,106.0
081900077123002,62,1999-08-25,2022-01-30,8194,102.0
081930077153001,104,1994-05-01,2021-11-30,10075,92.0
082000077160401,77,1999-08-25,2022-01-30,8194,102.0
082230077174501,77,1994-05-01,2020-01-10,9385,102.0
083110076562501,50,2006-08-27,2023-04-10,6070,100.0
083125077023001,64,1999-11-07,2023-04-10,8555,101.0
083150077073001,105,1994-04-12,2023-04-10,10590,94.0
083200077275501,105,1994-05-01,2022-01-30,10136,92.0
083630076494001,10,1994-04-13,2023-04-10,10589,293.0
083630076494002,97,1994-08-29,2022-01-30,10016,99.0
083635077003501,111,1994-01-08,2023-04-10,10684,91.0
083639076595201,30,2014-04-17,2023-04-10,3280,93.0
083639076595202,31,2014-04-17,2023-04-10,3280,91.0
083639076595203,28,2014-04-17,2023-04-10,3280,93.0
083639076595204,31,2014-04-17,2023-04-10,3280,91.0
083640076482501,19,1994-04-13,2022-04-10,10224,93.5
083705076572501,35,2013-04-17,2023-04-10,3645,91.0
083710076493001,35,2012-11-07,2023-04-10,3806,91.5
083710076503001,37,2012-11-07,2023-04-10,3806,91.0
083710076562001,52,1994-01-07,2023-01-10,10595,87.0
083710076562002,21,2013-08-27,2022-01-30,3078,91.0
083713077050601,35,2013-04-17,2023-04-10,3645,91.0
083733076482201,53,1994-01-05,2017-11-07,8707,98.0
083940077373001,84,1994-05-01,2022-01-30,10136,102.0
084000077405001,71,1996-01-05,2022-01-30,9522,102.0
084830077503001,26,2001-01-05,2019-01-30,6599,130.0
084930076500501,111,1994-01-07,2023-04-10,10685,90.5
084940077343001,59,1999-08-25,2022-01-30,8194,102.0
085000077243001,43,1999-08-25,2020-08-25,7671,102.0
085145076492501,55,2007-04-17,2023-04-10,5837,100.0
085150076413001,108,1994-04-09,2023-04-10,10593,93.0
085214077024201,14,2015-01-07,2022-08-25,2787,133.0
085220076463001,112,1994-04-05,2023-04-10,10597,92.0
085230076450001,99,1994-04-05,2023-04-10,10597,100.0
085231076522501,1,2015-04-17,2015-04-17,0,
085239076483901,26,2013-11-07,2021-08-31,2854,97.0
085239076483902,34,2013-04-17,2023-04-10,3645,93.0
085239076483904,26,2013-04-17,2023-04-10,3645,132.0
085239076483905,2,2013-04-17,2013-08-27,132,132.0
085250076522001,7,1994-04-05,2023-01-10,10507,176.0
085250076522002,102,1995-01-09,2021-08-31,9731,93.0
085320076515001,112,1994-04-05,2023-04-10,10597,91.0
085324076350001,60,1994-04-09,2023-04-10,10593,100.0
085331076570701,33,2013-04-17,2023-04-10,3645,95.0
085339076380601,31,2013-04-17,2023-04-10,3645,100.0
085344076340701,29,2014-04-17,2023-04-10,3280,95.0
085404076463501,21,2015-04-17,2023-01-10,2825,116.0
085410076420401,30,2014-01-07,2023-04-10,3380,100.0
085412076555801,29,2014-04-17,2023-04-10,3280,93.0
085427076400101,28,2014-04-17,2023-04-10,3280,97.0
085430077032001,41,1994-04-06,2003-04-17,3298,72.5
090806076491701,25,2015-04-17,2023-04-10,2915,95.5
091100076481001,47,1999-11-07,2016-04-17,6006,100.0
091100077265001,88,1994-05-01,2022-01-30,10136,102.0
091105076461701,27,2013-11-07,2023-01-10,3351,100.0
091127076421901,27,2013-11-07,2023-04-10,3441,96.5
091145076494501,4,2013-04-17,2014-11-07,569,204.0
091200076440001,23,1994-11-07,2023-01-10,10291,81.5
091200076440002,32,2012-11-07,2022-01-30,3371,91.0
091200076550001,45,1994-01-06,2004-04-17,3754,72.5
091230077333001,74,1999-08-25,2022-01-30,8194,102.0
091230077333002,34,1994-05-01,2022-01-30,10136,92.0
091400076343501,27,2011-08-27,2023-01-10,4154,100.0
091400076343502,9,2019-04-21,2021-11-30,954,97.0
091430077243001,60,1999-08-25,2022-01-30,8194,102.0
091430077243002,29,1994-05-01,2022-01-30,10136,92.0
091430077480501,91,1994-05-01,2019-05-30,9160,102.0
091449076365601,23,2014-01-07,2023-01-10,3290,131.0
091453076361801,33,2000-04-17,2011-01-07,3917,100.0
091459076310601,111,1994-01-11,2023-01-10,10591,92.0
091459076310602,20,2012-11-07,2022-08-25,3578,132.0
091500076253901,19,2013-04-17,2018-08-24,1955,100.5
091500076270001,2,2014-04-17,2017-08-27,1228,1228.0
091500076270003,49,1996-01-07,2023-01-10,9865,132.0
091500076290001,37,1994-04-06,2022-01-30,10161,100.0
091500076290002,20,1996-04-17,2005-01-07,3187,100.0
091500076304001,99,1994-01-10,2023-01-10,10592,93.5
091500076314502,76,1994-08-26,2013-01-07,6709,76.0
091500076314503,22,2015-11-07,2023-01-10,2621,100.0
091500076321501,81,1994-01-10,2022-01-30,10247,74.0
091500076321502,28,2014-01-07,2023-01-10,3290,100.0
091506076270701,26,2014-01-07,2023-01-10,3290,100.0
091830078444001,6,2019-08-30,2022-01-30,884,91.0
092000076470002,33,2013-04-17,2023-04-10,3645,96.5
092000076504001,87,1994-04-08,2022-01-30,10159,98.5
092000076504002,2,2015-04-17,2015-08-27,132,132.0
092000076504003,15,2015-11-07,2023-01-10,2621,100.5
092006077255101,5,2007-05-15,2020-08-25,4851,832.5
092014076550401,34,2013-04-17,2023-04-10,3645,93.0
092025077254001,82,1994-05-01,2022-01-30,10136,102.0
092030076501001,113,1994-04-07,2023-04-10,10595,86.0
092050076360501,8,2013-04-17,2016-01-07,995,100.0
092105076324501,111,1994-01-05,2023-04-10,10687,90.0
092113076404401,35,2013-04-17,2023-04-10,3645,90.5
092113076480901,32,2013-11-07,2023-04-10,3441,93.0
092146078262901,1,2012-05-15,2012-05-15,0,
092200078470001,67,1996-01-05,2021-08-31,9370,102.0
092200078470002,23,2012-11-05,2022-01-30,3373,111.0
092400078234001,30,2005-05-15,2022-01-30,6104,130.0
092430078223001,99,1994-05-01,2022-01-30,10136,92.0
092430078340001,30,1996-01-05,2021-01-10,9137,102.0
092450078224001,2,2014-08-25,2016-11-05,803,803.0
092500078330001,46,2005-05-15,2022-01-30,6104,95.0
092525078212001,70,1999-08-25,2022-01-30,8194,102.0
092625078270501,64,1999-08-25,2020-01-10,7443,102.0
092630078334001,88,1994-08-01,2021-11-30,9983,102.0
092730078363001,105,1994-05-01,2022-01-30,10136,92.0
092815078540001,9,2018-01-30,2020-01-10,710,92.0
093000077380001,13,2017-01-05,2022-01-30,1851,92.0
093035077375001,1,2015-01-05,2015-01-05,0,
093039077451801,41,2004-01-05,2022-01-30,6600,102.0
093040078115001,88,1994-05-01,2022-01-30,10136,102.0
093045078054501,33,1996-01-05,2016-11-05,7610,102.0
093045078054502,33,1994-05-01,2021-11-30,10075,98.5
093230078321501,15,2005-05-15,2022-01-30,6104,92.0
093235078413501,57,1996-01-05,2013-01-05,6210,102.0
093315078003001,90,1994-05-01,2021-11-30,10075,102.0
093328076405301,31,2013-04-17,2023-04-10,3645,91.0
093330076580002,36,2012-01-07,2023-04-10,4111,100.0
093400078043001,73,1999-08-25,2022-01-30,8194,102.0
093400078430001,3,2005-05-15,2014-11-05,3461,1730.5
093500077571501,85,1994-05-01,2022-01-30,10136,102.0
093530078520001,74,1994-05-01,2014-01-05,7189,102.0
093722076343601,1,2023-04-10,2023-04-10,0,
093732076293601,30,2014-08-27,2023-04-10,3148,90.0
093734076402601,27,2015-01-07,2023-04-10,3015,90.5
093800076361901,34,2013-04-17,2023-04-10,3645,93.0
093830076431001,107,1994-01-09,2023-04-10,10683,90.5
093851076311201,34,2013-04-17,2023-04-10,3645,90.0
093900076393001,112,1994-01-09,2023-04-10,10683,89.0
093927076461401,29,2014-04-17,2023-04-10,3280,98.5
093949076252601,30,2014-08-27,2023-04-10,3148,90.0
