h,nominal,split,picp,mpiw,crps,n,ace
1,0.5,temporal,0.5393859456290759,1.7516039743138152,1.0257656181796488,13647,0.039385945629075936
1,0.8,temporal,0.8404044845020884,4.442644524041777,1.0257656181796488,13647,0.040404484502088334
1,0.9,temporal,0.9233531179013703,6.885852629178631,1.0257656181796488,13647,0.02335311790137029
1,0.95,temporal,0.9638015681102073,9.77460593913532,1.0257656181796488,13647,0.013801568110207385
2,0.5,temporal,0.5423728813559322,1.9779990988995948,1.1339358919387916,12331,0.0423728813559322
2,0.8,temporal,0.8464033736112238,5.080052498766612,1.1339358919387916,12331,0.04640337361122371
2,0.9,temporal,0.9269321222934068,7.860269057610104,1.1339358919387916,12331,0.0269321222934068
2,0.95,temporal,0.9655340199497202,11.016230440736622,1.1339358919387916,12331,0.015534019949720257
3,0.5,temporal,0.5454628446229688,1.9845938772404956,1.1539772330175293,10954,0.04546284462296879
3,0.8,temporal,0.8490962205587,5.157748243539336,1.1539772330175293,10954,0.0490962205587
3,0.9,temporal,0.927788935548658,8.030405631628703,1.1539772330175293,10954,0.027788935548658023
3,0.95,temporal,0.9676830381595765,11.422565674470121,1.1539772330175293,10954,0.017683038159576503
4,0.5,temporal,0.5440057950018109,2.045270887840651,1.2028588888204388,16566,0.0440057950018109
4,0.8,temporal,0.8408789086079923,5.209800231662043,1.2028588888204388,16566,0.04087890860799226
4,0.9,temporal,0.9247857056621996,8.087326966173503,1.2028588888204388,16566,0.02478570566219962
4,0.95,temporal,0.9629964988530726,11.396805950576727,1.2028588888204388,16566,0.012996498853072636
1,0.5,spatial,0.49807059357621153,1.8168093198783581,1.1972176764025781,17622,-0.0019294064237884712
1,0.8,spatial,0.8077970718420157,4.62655902457048,1.1972176764025781,17622,0.007797071842015613
1,0.9,spatial,0.9044376347747134,7.166089741937753,1.1972176764025781,17622,0.004437634774713373
1,0.95,spatial,0.9526160481216661,10.211134107195909,1.1972176764025781,17622,0.002616048121666159
2,0.5,spatial,0.49745493742140245,2.0321573676701656,1.328257031960052,16699,-0.0025450625785975456
2,0.8,spatial,0.8037607042337864,5.163710634920392,1.328257031960052,16699,0.0037607042337863827
2,0.9,spatial,0.9018504102042039,7.931397758860807,1.328257031960052,16699,0.001850410204203845
2,0.95,spatial,0.95101503084017,11.28332974952334,1.328257031960052,16699,0.0010150308401700725
3,0.5,spatial,0.5070159027128157,2.0412413245884213,1.335274874031756,14966,0.007015902712815714
3,0.8,spatial,0.8103701723907524,5.15352361710156,1.335274874031756,14966,0.01037017239075233
3,0.9,spatial,0.903314178805292,7.9653347863639645,1.335274874031756,14966,0.003314178805291945
3,0.95,spatial,0.9498864091941734,11.42368098248513,1.335274874031756,14966,-0.00011359080582651337
4,0.5,spatial,0.5357636178007327,2.0398731037564306,1.2737981213854823,16651,0.03576361780073267
4,0.8,spatial,0.8263167377334695,5.223204699421483,1.2737981213854823,16651,0.02631673773346943
4,0.9,spatial,0.9115368446339559,8.080481491641015,1.2737981213854823,16651,0.011536844633955878
4,0.95,spatial,0.9542970392168638,11.367727579542846,1.2737981213854823,16651,0.004297039216863863
