cohort,h,model,brier,bss,auc,ece,base_rate,n_pos,n_neg,in_brier_mcs,brier_mcs_p
igp,1,chronos,0.10307643260834853,0.578832404491735,0.9293713993371444,0.11179932915474812,0.2854100106496273,268,671,True,1.0
igp,1,climatology,0.24473970387953498,0.0,0.34468492114687366,0.21052953958067197,0.2854100106496273,268,671,False,0.0
igp,1,gru,0.09381995949085245,0.6166541104542963,0.9279978646261985,0.09328322112719936,0.2854100106496273,268,671,True,1.0
igp,1,lstm,0.09565441098303545,0.6091585898538221,0.9280868385345997,0.09213621311324115,0.2854100106496273,268,671,True,1.0
igp,1,persistence,0.1274568516665746,0.47921465276712505,0.9152857174633539,0.1464474388831834,0.2854100106496273,268,671,False,0.0
igp,1,random_forest,0.10777662919961417,0.559627524708195,0.9273027559668127,0.11457105702892112,0.2854100106496273,268,671,True,1.0
igp,1,seasonal_naive,0.10938769279263871,0.553044761194607,0.906015748381787,0.09671830025632254,0.2854100106496273,268,671,True,1.0
igp,1,xgboost,0.11378945177121394,0.535059289655662,0.90391930066508,0.11861894986075787,0.2854100106496273,268,671,True,1.0
igp,2,chronos,0.12469325350636618,0.5064927746628957,0.8837767381705384,0.0777997669506615,0.31113423517169614,299,662,True,1.0
igp,2,climatology,0.2526675337350752,0.0,0.39944578605421904,0.1967573090580669,0.31113423517169614,299,662,False,0.0
igp,2,gru,0.12467497171960547,0.5065651297711696,0.8745970960603826,0.056957334220558105,0.31113423517169614,299,662,True,1.0
igp,2,lstm,0.12853281803513952,0.4912966611297689,0.8663824025705018,0.07504000434593901,0.31113423517169614,299,662,False,0.0795
igp,2,persistence,0.16723888226041117,0.33810695902164056,0.82527104446847,0.1273575959068062,0.31113423517169614,299,662,False,0.0
igp,2,random_forest,0.11525412622291172,0.5438506700122503,0.8983671654760582,0.08147311270534098,0.31113423517169614,299,662,True,1.0
igp,2,seasonal_naive,0.11622813429740844,0.5399957700173899,0.892370338186705,0.08390777262926159,0.31113423517169614,299,662,True,1.0
igp,2,xgboost,0.12046722840124488,0.5232184102942322,0.8871666885590437,0.09725800594077899,0.31113423517169614,299,662,True,1.0
igp,3,chronos,0.10852852468716793,0.6116675072899178,0.9145607351615435,0.07783880360516623,0.35309278350515466,274,502,True,1.0
igp,3,climatology,0.27947320073520654,0.0,0.4110310582487568,0.19629187790711866,0.35309278350515466,274,502,False,0.0
igp,3,gru,0.12607198025351835,0.5488942055200198,0.8939206676941867,0.08879566465993713,0.35309278350515466,274,502,False,0.0095
igp,3,lstm,0.1270042918436336,0.5455582449067565,0.886301509291302,0.08399444831863744,0.35309278350515466,274,502,False,0.0095
igp,3,persistence,0.13300942926343262,0.5240708986996734,0.8862615232500654,0.10596394741092745,0.35309278350515466,274,502,False,0.0015
igp,3,random_forest,0.10243658666485267,0.6334654399943391,0.9242082763835172,0.06864900499889268,0.35309278350515466,274,502,True,1.0
igp,3,seasonal_naive,0.11029512459535545,0.6053463290748327,0.9092462267717452,0.06501335255398785,0.35309278350515466,274,502,True,1.0
igp,3,xgboost,0.10962462623583784,0.6077454798977155,0.9091262686480356,0.0806286716692654,0.35309278350515466,274,502,True,1.0
igp,4,chronos,0.11353687131739582,0.5519528486183309,0.8941563042810291,0.08283856201995303,0.3082583810302535,377,846,True,1.0
igp,4,climatology,0.25340384592843757,0.0,0.388369985765437,0.19439266651101939,0.3082583810302535,377,846,False,0.0
igp,4,gru,0.15437340005503744,0.3908008795626835,0.8093070213393031,0.06146424825970903,0.3082583810302535,377,846,False,0.0005
igp,4,lstm,0.13213267108955534,0.4785688014898155,0.8523650068037449,0.09061187195474654,0.3082583810302535,377,846,False,0.0155
igp,4,persistence,0.1142201821187832,0.5492563196888515,0.8947316439979682,0.07528003217995265,0.3082583810302535,377,846,True,1.0
igp,4,random_forest,0.11698191150672567,0.538357789803388,0.8992983050209756,0.08210602860578546,0.3082583810302535,377,846,True,1.0
igp,4,seasonal_naive,0.1142201821187832,0.5492563196888515,0.8947316439979682,0.07528003217995265,0.3082583810302535,377,846,True,1.0
igp,4,xgboost,0.12264466229253833,0.5160110461497347,0.8806068187946398,0.08624410055518514,0.3082583810302535,377,846,True,1.0
