model,region,h,static,autoregressive,seasonal,covariate,engineered_climate
rf_aug,national,1,0.02765101609987183,0.7965528265410173,0.1039589752654365,0.0478605003672226,0.023976681726451805
rf_aug,national,2,0.041364484306961886,0.8439066669607522,0.056874931256259566,0.02996495757032213,0.0278889599057041
rf_aug,national,3,0.04832147165339418,0.8625777252413684,0.02324060526025937,0.03794747431990844,0.027912723525069582
rf_aug,national,4,0.04176753053086666,0.8512178996360946,0.04432838130581781,0.03340724771678048,0.02927894081044048
