station_id,count,min,max,span_days,median_gap_days
285250076304501,107,1994-05-01,2024-01-01,10837,92.0
285310076372501,31,1994-11-01,2011-05-15,6039,130.0
285324077532401,1,2023-01-31,2023-01-31,0,
285405077533502,60,2005-01-05,2023-01-31,6600,102.0
285434079312001,60,2005-01-05,2023-05-30,6719,102.0
285445077395802,34,2005-01-05,2019-01-31,5139,102.0
285509079575801,74,1994-05-01,2023-05-30,10621,102.0
285512077483001,23,2016-11-05,2023-01-31,2278,91.5
285520079421501,1,2023-01-30,2023-01-30,0,
285520079421502,65,1994-05-01,2023-08-30,10713,102.0
285600076383001,25,1994-05-01,2022-05-20,10246,92.0
285618076260001,91,1994-05-01,2022-05-20,10246,102.0
285730077330001,25,2012-11-05,2023-01-31,3739,125.0
285730077330002,23,2013-11-05,2023-01-31,3374,94.5
285730077330003,18,2014-01-05,2022-05-31,3068,120.0
285732077410501,57,2005-05-15,2022-11-10,6388,97.0
285748076180001,72,1994-05-01,2024-01-01,10837,102.0
285750076173001,10,1997-05-15,2023-08-20,9593,212.0
285751076262901,6,2015-01-05,2022-05-20,2692,174.0
285800077071501,11,2012-11-05,2017-11-05,1826,174.0
285813076330501,6,2015-01-05,2022-05-20,2692,174.0
285840077561001,58,2005-01-05,2023-01-31,6600,92.0
285901079271003,63,2005-05-15,2023-08-30,6681,102.0
285907077420001,45,1994-05-01,2005-08-25,4134,92.0
285919079204702,65,2005-05-15,2023-08-03,6654,98.5
285919079415302,57,2005-05-15,2023-08-30,6681,102.0
290010076453001,9,2012-11-05,2022-05-20,3483,182.5
290045076231501,87,1994-05-01,2022-05-20,10246,97.0
290216076563101,5,2015-01-05,2022-05-20,2692,556.5
290315076513001,72,2001-08-25,2022-05-20,7573,102.0
290330076063201,39,2012-11-05,2023-01-01,3709,76.5
290340076500001,105,1994-05-01,2022-11-01,10411,94.5
290343079133401,9,2013-05-15,2023-05-30,3667,166.5
290430075453001,100,1994-08-01,2023-01-01,10380,80.0
290430076023001,41,2003-05-15,2018-11-01,5649,102.0
290430076333001,89,1994-05-01,2022-11-01,10411,102.0
290430076464501,93,1994-05-01,2022-11-01,10411,92.0
290530077514001,55,2005-01-05,2023-01-31,6600,92.0
290533077020501,7,2015-01-05,2022-05-20,2692,157.5
290533079173502,64,2005-05-15,2023-05-30,6589,102.0
290555076410501,85,1994-05-01,2022-11-01,10411,102.0
290600076365501,108,1994-05-01,2022-11-01,10411,80.0
290620076072501,6,2015-01-05,2022-05-20,2692,174.0
290630076120001,80,1994-05-01,2022-05-20,10246,102.0
