split,h,model,n,RMSE,MAE,bias,MASE_mean,NSE_median,RMSE_sn,skill_vs_seasonal_pct
val,3,lstm,12857,2.7382,1.6396,0.2105,1.1409,0.084,3.2959,16.921023089292763
val,4,lstm,14854,2.7614,1.6754,0.1661,1.1749,0.1177,3.2627,15.36457535170258
val,1,persistence,10936,3.6611,2.1851,-0.0292,1.7019,-1.1725,3.2689,-11.997919789531641
val,2,persistence,10939,4.4387,2.8107,0.2087,2.1053,-1.974,3.4049,-30.36212517254544
val,3,persistence,12857,4.2558,2.6322,0.6208,1.9289,-1.6785,3.2959,-29.124063230073727
val,4,persistence,14854,3.2627,1.8463,0.2328,1.2643,-0.2505,3.2627,0.0
val,1,random_forest,10936,2.5599,1.504,0.222,1.0655,0.1987,3.2689,21.68925326562452
val,2,random_forest,10939,2.9316,1.7069,0.4435,1.1679,-0.0338,3.4049,13.900555082381272
val,3,random_forest,12857,2.9076,1.7258,0.4056,1.1928,-0.0358,3.2959,11.781304044418828
val,4,random_forest,14854,2.9268,1.7553,0.4074,1.223,-0.0066,3.2627,10.29515432004169
val,1,seasonal_naive,10936,3.2689,1.834,0.2546,1.2292,-0.2223,3.2689,0.0
val,2,seasonal_naive,10939,3.4049,1.8958,0.394,1.2646,-0.3888,3.4049,0.0
val,3,seasonal_naive,12857,3.2959,1.8574,0.2552,1.2683,-0.3566,3.2959,0.0
val,4,seasonal_naive,14854,3.2627,1.8463,0.2328,1.2643,-0.2505,3.2627,0.0
val,1,xgboost,10936,2.5963,1.5016,0.194,1.0812,0.2091,3.2689,20.575728838447183
val,2,xgboost,10939,2.9927,1.7194,0.3395,1.1855,-0.0113,3.4049,12.10608241064348
val,3,xgboost,12857,2.9348,1.7314,0.3194,1.199,-0.0587,3.2959,10.95603628750872
val,4,xgboost,14854,2.9672,1.7592,0.3559,1.2353,-0.0119,3.2627,9.05691605112331
