scheme,region,h,n,rmse,mase,nse_med,skill_vs_sn,canonical_rmse,degradation_pct
spatial,national,1,17622,2.675492641045505,1.2177310655301736,-0.1221293584765584,9.021018050287966,2.2715,17.785280257341174
spatial,igp,1,1304,2.8071753340458367,2.2292711727726533,-3.8865973760909096,-34.62896581486521,1.6613,68.97461831372038
spatial,national,2,16699,2.930806091315492,1.3273103489031983,-0.2498563757713576,0.6091264485171721,2.4738,18.473849596389822
spatial,igp,2,1284,3.134859958134101,2.3866277198727457,-2.7681959523331074,-58.3533454933245,1.926,62.765314544865085
spatial,national,3,14966,3.032291630910468,1.344315950858158,-0.2307344330525116,-0.5260751023055787,2.6086,16.242108062196877
spatial,igp,3,1082,3.063960484663291,2.414335420338856,-2.801689307105715,-39.80260843224093,1.8582,64.88862795518733
spatial,national,4,16651,2.9373680443298618,1.2037348647628208,-0.3556623581995007,0.052781004097091,2.7028,8.678705206817446
spatial,igp,4,1239,2.676509122983922,1.775505787299479,-1.2376810636764972,-21.929942020051985,2.1492,24.535135072767638
random,national,1,17622,2.4155578969385108,1.088740161810399,-0.045742809463697,17.859987752320873,2.2715,6.341972130244802
random,igp,1,1304,1.8800060148294493,1.3503269827154838,-0.8468284346353054,9.837029973674538,1.6613,13.164751389240326
random,national,2,16699,2.6470966515323013,1.2085063382113674,-0.1738411385221745,10.230414304581492,2.4738,7.005281410473809
random,igp,2,1284,2.068746621896167,1.572662125823336,-0.8977245427486036,-4.50002645421459,1.926,7.411558769271394
random,national,3,14966,2.726843683799773,1.2300042309366508,-0.1887163432693689,9.600089201315576,2.6086,4.532840749818788
random,igp,3,1082,2.21719430105286,1.536387143182673,-1.2892632022417736,-1.1663003618509915,1.8582,19.31946513038745
random,national,4,16651,2.697846808867886,1.1483453826184538,-0.3183136533092288,8.202757790662474,2.7028,-0.1832614744751249
random,igp,4,1239,2.127410340318478,1.471196059803087,-0.8088761071971129,3.084574896310077,2.1492,-1.0138497897599996
leave_igp_out,igp,1,1304,2.0682749198299546,1.6484204613922675,-1.8986048432725784,0.8078654366719284,1.6613,24.497376742909445
leave_igp_out,igp,2,1284,2.2556502381748005,1.9234826160996192,-1.394138852063883,-13.941217868754997,1.926,17.115796374600237
leave_igp_out,igp,3,1082,2.3306076271136837,1.848254825638418,-1.7927779475878018,-6.341131725912064,1.8582,25.422862292201227
leave_igp_out,igp,4,1239,2.1611154083302115,1.6270229885925378,-0.9374840653499088,1.5491207657181705,2.1492,0.5544113312028448
